arm,K,endpoint,prompt,target,count,mean,median,p90,max,min
c1,7,post_writer_W,rewrite,true,1000,11.031392983198167,10.670144081115723,15.850226402282715,23.451810836791992,1.8796663284301758
c1,7,pre_writer_W,rephrase,new,2000,2.125109367258061,0.9215267896652222,6.0379462242126465,18.08983612060547,0.0008688965463079512
c1,7,pre_writer_W,rephrase,true,2000,7.976340078376699,7.745458602905273,12.75413990020752,20.911386489868164,0.010718041099607944
c1,7,pre_writer_W,rewrite,new,1000,0.12190146402212122,0.04095979034900665,0.14303770661354065,6.218006134033203,9.643566590966657e-05
c1,7,pre_writer_W,rewrite,true,1000,10.539390568375588,10.107704639434814,15.326927185058594,23.14528465270996,1.8819366693496704
c1,8,accepted_z,rephrase,new,2000,1.40583466045346,0.26563748717308044,4.780013084411621,16.9851016998291,0.0007713441736996174
c1,8,accepted_z,rephrase,true,2000,9.621688219072762,9.50408124923706,14.299259185791016,21.752986907958984,0.012904350645840168
c1,8,accepted_z,rewrite,new,1000,0.06199054777571291,0.01972546987235546,0.06099087744951248,6.180318832397461,8.093983342405409e-05
c1,8,accepted_z,rewrite,true,1000,11.405313506007195,10.998010158538818,16.206844329833984,23.57763671875,1.8798214197158813
c1,8,post_writer_W,rephrase,new,2000,1.9976503671387036,0.7289842367172241,5.993177890777588,18.06108856201172,0.0008043391280807555
c1,8,post_writer_W,rephrase,true,2000,8.276484443454537,8.105295181274414,13.044255256652832,21.36053466796875,0.010440965183079243
c1,8,post_writer_W,rewrite,new,1000,0.0627765906204222,0.01966141816228628,0.06063965708017349,6.16042423248291,8.082063141046092e-05
c1,8,post_writer_W,rewrite,true,1000,11.402698663830757,11.004380702972412,16.23121452331543,23.576379776000977,1.877111554145813
c1,8,pre_writer_W,rephrase,new,2000,2.0481173918855786,0.7956702411174774,5.9915571212768555,18.077606201171875,0.0008345934911631048
c1,8,pre_writer_W,rephrase,true,2000,8.144295576850883,7.929484605789185,12.9116792678833,20.899078369140625,0.010596321895718575
c1,8,pre_writer_W,rewrite,new,1000,0.07957417951703974,0.026997821405529976,0.08390963077545166,6.182360649108887,8.999896090244874e-05
c1,8,pre_writer_W,rewrite,true,1000,11.031392983198167,10.670144081115723,15.850226402282715,23.451810836791992,1.8796663284301758
c3,1,accepted_z,rephrase,new,2000,8.340176648885011,8.282668590545654,12.6402587890625,19.402048110961914,0.4094327688217163
c3,1,accepted_z,rephrase,true,2000,4.833762714735232,4.399924039840698,9.597164154052734,20.990507125854492,0.007567429915070534
c3,1,accepted_z,rewrite,new,1000,8.272891883969306,8.091944217681885,12.979273796081543,21.407352447509766,0.2977759838104248
c3,1,accepted_z,rewrite,true,1000,4.59535971603659,4.1538403034210205,8.846124649047852,15.432395935058594,0.002583620371297002
