source_table,model,method,accepted_edit_count,fork,layer,metric,availability,n,sum,mean,median,p25,p75,iqr,p90,max,min
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,7,update_magnitude_share,RECORDED,1,0.22449131054813787,0.22449131054813787,0.22449131054813787,0.22449131054813787,0.22449131054813787,0.0,0.22449131054813787,0.22449131054813787,0.22449131054813787
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,8,frobenius_magnitude,RECORDED,1,9.20600646920857,9.20600646920857,9.20600646920857,9.20600646920857,9.20600646920857,0.0,9.20600646920857,9.20600646920857,9.20600646920857
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,8,frobenius_squared_telemetry,RECORDED,1,84.75055511111003,84.75055511111003,84.75055511111003,84.75055511111003,84.75055511111003,0.0,84.75055511111003,84.75055511111003,84.75055511111003
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,8,relative_update_magnitude,RECORDED,1,0.11477168305385525,0.11477168305385525,0.11477168305385525,0.11477168305385525,0.11477168305385525,0.0,0.11477168305385525,0.11477168305385525,0.11477168305385525
checkpoint_weight,llama3-8b-inst,alphaedit,1000,ACCUMULATED_OR_STATIC,8,update_magnitude_share,RECORDED,1,0.2929908538784629,0.2929908538784629,0.2929908538784629,0.2929908538784629,0.2929908538784629,0.0,0.2929908538784629,0.2929908538784629,0.2929908538784629
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,4,frobenius_magnitude,RECORDED,1,4.409303907450674,4.409303907450674,4.409303907450674,4.409303907450674,4.409303907450674,0.0,4.409303907450674,4.409303907450674,4.409303907450674
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,4,frobenius_squared_telemetry,RECORDED,1,19.44196094825978,19.44196094825978,19.44196094825978,19.44196094825978,19.44196094825978,0.0,19.44196094825978,19.44196094825978,19.44196094825978
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,4,relative_update_magnitude,RECORDED,1,0.05627728262754812,0.05627728262754812,0.05627728262754812,0.05627728262754812,0.05627728262754812,0.0,0.05627728262754812,0.05627728262754812,0.05627728262754812
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,4,update_magnitude_share,RECORDED,1,0.1596931271117906,0.1596931271117906,0.1596931271117906,0.1596931271117906,0.1596931271117906,0.0,0.1596931271117906,0.1596931271117906,0.1596931271117906
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,5,frobenius_magnitude,RECORDED,1,4.453422891005324,4.453422891005324,4.453422891005324,4.453422891005324,4.453422891005324,0.0,4.453422891005324,4.453422891005324,4.453422891005324
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,5,frobenius_squared_telemetry,RECORDED,1,19.83297544613022,19.83297544613022,19.83297544613022,19.83297544613022,19.83297544613022,0.0,19.83297544613022,19.83297544613022,19.83297544613022
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,5,relative_update_magnitude,RECORDED,1,0.056786968631656824,0.056786968631656824,0.056786968631656824,0.056786968631656824,0.056786968631656824,0.0,0.056786968631656824,0.056786968631656824,0.056786968631656824
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,5,update_magnitude_share,RECORDED,1,0.16129099802219227,0.16129099802219227,0.16129099802219227,0.16129099802219227,0.16129099802219227,0.0,0.16129099802219227,0.16129099802219227,0.16129099802219227
